14 //Total number of Ge cuts to make
//{Ge number(0-6),centroid, sigma}
0,850.6,2
1,850.6,2
2,850.6,2
3,850.6,2
4,850.6,2
5,850.6,2
6,850.6,2
0,905,2
1,905,2
2,905,2
3,905,2
4,905,2
5,905,2
6,905,2
